Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71476236,0,"Tuesday, October 19, 2010 17:48:31 UTC",38.8262,-122.7965,1.2,2.40,17,"Northern California"
nc,71476231,3,"Tuesday, October 19, 2010 17:39:33 UTC",36.8135,-121.5330,2.6,3.90,73,"Central California"
nn,00319060,7,"Tuesday, October 19, 2010 17:35:46 UTC",37.3875,-117.6555,1.6,7.00, 6,"Nevada"
ak,10103782,1,"Tuesday, October 19, 2010 17:32:27 UTC",60.5784,-150.5696,1.9,51.00, 9,"Kenai Peninsula, Alaska"
ci,14864004,2,"Tuesday, October 19, 2010 17:31:08 UTC",34.1367,-116.7152,1.5,9.00,51,"Southern California"
nc,71476226,2,"Tuesday, October 19, 2010 17:29:44 UTC",38.5233,-122.6067,1.4,4.30,14,"Northern California"
nn,00319059,7,"Tuesday, October 19, 2010 16:55:06 UTC",36.0508,-114.7547,1.7,4.00, 8,"Nevada"
ak,10103758,1,"Tuesday, October 19, 2010 16:42:07 UTC",63.5417,-147.3328,2.0,0.00,16,"Central Alaska"
ak,10103740,1,"Tuesday, October 19, 2010 16:24:46 UTC",62.5401,-150.8192,2.1,71.70,25,"Central Alaska"
ci,14863964,2,"Tuesday, October 19, 2010 16:22:45 UTC",34.7980,-116.3308,1.6,4.30,18,"Southern California"
ak,10103732,1,"Tuesday, October 19, 2010 16:17:44 UTC",59.4607,-151.8773,3.2,35.10,59,"Kenai Peninsula, Alaska"
ci,14863940,2,"Tuesday, October 19, 2010 16:07:51 UTC",36.0398,-118.0293,1.9,9.50,19,"Central California"
nn,00319057,7,"Tuesday, October 19, 2010 15:56:38 UTC",37.1655,-117.3170,1.0,10.50, 5,"Nevada"
ci,14863932,4,"Tuesday, October 19, 2010 15:49:20 UTC",32.3597,-115.2188,3.1,14.00,16,"Baja California, Mexico"
ak,10103724,2,"Tuesday, October 19, 2010 15:43:16 UTC",51.7296,-177.3815,2.3,106.70,10,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00319052,7,"Tuesday, October 19, 2010 15:36:04 UTC",37.6463,-114.6440,1.8,4.10, 8,"Nevada"
ak,10103713,1,"Tuesday, October 19, 2010 15:25:14 UTC",61.4612,-146.5286,1.7,29.60,10,"Southern Alaska"
ci,14863900,4,"Tuesday, October 19, 2010 15:11:23 UTC",32.2340,-115.3615,2.5,5.90,11,"Baja California, Mexico"
pr,10292005,0,"Tuesday, October 19, 2010 13:55:20 UTC",18.2569,-64.9440,2.4,31.00, 5,"Virgin Islands region"
ci,14863804,2,"Tuesday, October 19, 2010 12:50:41 UTC",35.3292,-117.4843,1.4,10.00,26,"Southern California"
ci,14863796,2,"Tuesday, October 19, 2010 12:46:30 UTC",35.7358,-117.4172,1.4,21.70,10,"Southern California"
nc,71476126,2,"Tuesday, October 19, 2010 12:25:55 UTC",37.4095,-121.7560,1.1,6.50,16,"San Francisco Bay area, California"
ci,14863764,4,"Tuesday, October 19, 2010 12:25:41 UTC",32.3573,-115.1723,2.1,14.30,11,"Baja California, Mexico"
ci,14863740,2,"Tuesday, October 19, 2010 12:17:03 UTC",36.0358,-117.7743,2.0,2.40,31,"Central California"
ci,14863732,2,"Tuesday, October 19, 2010 12:16:45 UTC",36.0323,-117.7718,2.0,2.40,18,"Central California"
pr,10292004,0,"Tuesday, October 19, 2010 12:00:23 UTC",19.1499,-66.4199,2.6,26.20, 7,"Puerto Rico region"
nc,71476121,2,"Tuesday, October 19, 2010 11:57:19 UTC",41.8817,-122.2733,1.8,15.10,16,"Northern California"
nc,71476151,2,"Tuesday, October 19, 2010 11:43:26 UTC",37.6855,-119.3757,1.3,19.30,13,"Central California"
nc,71476111,1,"Tuesday, October 19, 2010 11:42:56 UTC",38.8492,-122.8192,1.6,2.30,25,"Northern California"
pr,10292003,0,"Tuesday, October 19, 2010 11:30:58 UTC",18.1849,-67.2819,2.4,18.40,15,"Mona Passage, Puerto Rico"
